scientific_name,image_url,clean_name,filename,generated_filename,raw_filename
Hypogymnia imshaugii,http://bornnaturalist.org/images/20070213/4.jpg,Hypogymnia_imshaugii,4.jpg,f1d51cbd94774837cf7957053ecbca4a.jpg,4.jpg
Lobaria hallii,http://bornnaturalist.org/images/20070221/54.jpg,Lobaria_hallii,54.jpg,bb9662962ccbf292899078d471dac571.jpg,54.jpg
Lobaria pulmonaria,http://bornnaturalist.org/images/20070221/4.jpg,Lobaria_pulmonaria,4.jpg,f349591a506404e3d216841ca14997b1.jpg,4.jpg
Usnea rubicunda,http://bornnaturalist.org/images/20070224/54.jpg,Usnea_rubicunda,54.jpg,8b4ac36490703569b460edd35da646fc.jpg,54.jpg
Hypogymnia physodes,http://bornnaturalist.org/images/20091007/196.jpg,Hypogymnia_physodes,196.jpg,aa935ef36312262cf56f733aa03adcc2.jpg,196.jpg
Phaeophyscia adiastola,http://bornnaturalist.org/images/20091027/196.jpg,Phaeophyscia_adiastola,196.jpg,6a784245ce7cc06ee4efb4956e77f550.jpg,196.jpg
Cladonia pyxidata,https://lichenportal.org/imglib/lichens/WIS/201404/Cladonia_pyxidata_Mazoman.jpg,Cladonia_pyxidata,Cladonia_pyxidata_Mazoman.jpg,de57ca65316666792050431b19e4857f.jpg,Cladonia_pyxidata_Mazoman.jpg
Cladonia pyxidata,https://lichenportal.org/imglib/lichens/WIS/201404/Cladonia_pyxidata_Mazoman.jpg,Cladonia_pyxidata,Cladonia_pyxidata_Mazoman.jpg,de57ca65316666792050431b19e4857f.jpg,Cladonia_pyxidata_Mazoman.jpg
Phaeophyscia adiastola,https://lichenportal.org/imglib/lichens/WIS/201404/Phaeophyscia_adiastola_Ob.jpg,Phaeophyscia_adiastola,Phaeophyscia_adiastola_Ob.jpg,5875caa8e2c66491dd8a2f6782438e0b.jpg,Phaeophyscia_adiastola_Ob.jpg
Phaeophyscia adiastola,https://lichenportal.org/imglib/lichens/WIS/201404/Phaeophyscia_adiastola_Ob.jpg,Phaeophyscia_adiastola,Phaeophyscia_adiastola_Ob.jpg,5875caa8e2c66491dd8a2f6782438e0b.jpg,Phaeophyscia_adiastola_Ob.jpg
